Marca,Cor,Vendedor,Produto,Tags,Preço Original,Preço Pix,Preço Parcelado,Quantidade de Parcelas
Jorge Bischoff,Marrom,Dafiti,Bota Feminina Jorge Bischoff Cano Alto Marrom,"Calçados,Calçados Femininos,Botas,Bota Montaria e Cano Longo","R$ 1.199,00","R$ 589,99","R$ 627,65",10x
Arezzo,Preto,Dafiti,Bota Feminina Arezzo Cano Baixo Preta,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 599,90","R$ 563,90","R$ 599,89",10x
Arezzo,Marrom,Dafiti,Bota Feminina Arezzo Cano Baixo Marrom,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 599,90","R$ 563,90","R$ 599,89",10x
adidas Originals,Marrom,Dafiti,Tênis adidas Originals SL 72 OG Marrom,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 699,99","R$ 657,98","R$ 699,98",10x
adidas Originals,Preto,Dafiti,Tênis adidas Originals Superstar Slip On Preto,"Calçados,Calçados Femininos,Tênis,Slip On,Tênis Casual,Esporte,Esporte Feminino,Calçados,Tênis Performance","R$ 399,99","R$ 299,99","R$ 319,14",5x
Vans,Preto,Dafiti,Tênis Vans Wm Range Exp Preto,"Calçados,Calçados Femininos,Tênis,Tênis Casual,Esporte,Esporte Feminino,Calçados,Tênis Performance","R$ 599,99","R$ 299,99","R$ 319,14",5x
Melissa,Marrom,Dafiti,Sandália Melissa Possession Marrom,"Calçados,Calçados Femininos,Sandálias","R$ 169,99","R$ 79,99","R$ 85,10",1x
New Balance,Branco,Dafiti,Tênis Feminino New Balance 530 Branco,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 749,99","R$ 704,98","R$ 749,98",10x
Melissa,Off-white,Dafiti,Chinelo Melissa Logo Off-White,"Calçados,Calçados Femininos,Chinelos","R$ 69,90","R$ 34,99","R$ 37,22",1x
Santa Lolla,Preto,Dafiti,Sapatilha Slingback Santa Lolla Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 169,90","R$ 99,99","R$ 106,37",1x
Melissa,Caramelo,Dafiti,Sandália Melissa Free Print Platform Ad Caramelo,"Calçados,Calçados Femininos,Tamanco","R$ 229,90","R$ 129,99","R$ 138,29",2x
Melissa,Rosa,Dafiti,Chinelo Melissa Sun Long Rosa,"Calçados,Calçados Femininos,Chinelos","R$ 69,90","R$ 34,99","R$ 37,22",1x
Bebecê,Preto,Dafiti,Scarpin Feminino Bebecê Salto Bloco Bico...,"Calçados,Calçados Femininos,Scarpin","R$ 119,99","R$ 104,99","R$ 111,69",1x
Vizzano,Marrom,Dafiti,Rasteira Feminina Vizzano Detalhe Metálico Marrom,"Calçados,Calçados Femininos,Rasteirinhas","R$ 99,90","R$ 79,99","R$ 85,10",1x
Beira Rio,Marrom,Dafiti,Sandália Feminina Beira Rio Salto Bloco ...,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 149,90","R$ 119,99","R$ 127,65",2x
Melissa,Preto,Dafiti,Chinelo Slide Melissa Sun Preto,"Calçados,Calçados Femininos,Chinelos","R$ 99,90","R$ 64,99","R$ 69,14",1x
Santa Lolla,Nude,Dafiti,Sapatilha Feminina Santa Lolla Bico Fino...,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 169,90","R$ 89,99","R$ 95,73",1x
Santa Lolla,Dourado,Dafiti,Sandália Feminina Santa Lolla Salto Quad...,"Calçados,Calçados Femininos,Sandálias","R$ 169,90","R$ 139,99","R$ 148,93",2x
Santa Lolla,Branco,Dafiti,Tênis Slip On Santa Lolla Logo Branco,"Calçados,Calçados Femininos,Tênis,Slip On","R$ 139,99","R$ 104,99","R$ 111,69",1x
Vizzano,Bege,Dafiti,Scarpin Vizzano Salto Grosso Bege,"Calçados,Calçados Femininos,Scarpin","R$ 139,90","R$ 104,99","R$ 111,69",1x
VIA UNO,Bege,Dafiti,Sapatilha Via Uno Matelassê Bege,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 89,90","R$ 74,99","R$ 79,78",1x
Modare,Caramelo,Dafiti,Rasteira Feminina Modare Aberta Tiras Fi...,"Calçados,Calçados Femininos,Rasteirinhas","R$ 99,99","R$ 79,99","R$ 85,10",1x
Bebecê,Vinho,Dafiti,Scarpin Bebecê Salto Baixo Vinho,"Calçados,Calçados Femininos,Scarpin","R$ 119,99","R$ 94,99","R$ 101,05",1x
Modare,Marrom,Dafiti,Scarpin Modare Corrente Marrom,"Calçados,Calçados Femininos,Scarpin","R$ 139,99","R$ 69,99","R$ 74,46",1x
