Marca,Cor,Vendedor,Produto,Tags,Preço Original,Preço Pix,Preço Parcelado,Quantidade de Parcelas,Produto,Produto_limpo,Produto_sem_stopwords
Jorge Bischoff,Marrom,Dafiti,Bota Feminina Jorge Bischoff Cano Alto Marrom,"Calçados,Calçados Femininos,Botas,Bota Montaria e Cano Longo","R$ 1.199,00","R$ 589,99","R$ 627,65",10x,Bota Feminina Jorge Bischoff Cano Alto Marrom,bota feminina jorge bischoff cano alto marrom,bota feminina jorge bischoff cano alto marrom
Arezzo,Preto,Dafiti,Bota Feminina Arezzo Cano Baixo Preta,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 599,90","R$ 563,90","R$ 599,89",10x,Bota Feminina Arezzo Cano Baixo Preta,bota feminina arezzo cano baixo preta,bota feminina arezzo cano baixo preta
Arezzo,Marrom,Dafiti,Bota Feminina Arezzo Cano Baixo Marrom,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 599,90","R$ 563,90","R$ 599,89",10x,Bota Feminina Arezzo Cano Baixo Marrom,bota feminina arezzo cano baixo marrom,bota feminina arezzo cano baixo marrom
adidas Originals,Marrom,Dafiti,Tênis adidas Originals SL 72 OG Marrom,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 699,99","R$ 657,98","R$ 699,98",10x,Tênis adidas Originals SL 72 OG Marrom,tenis adidas originals sl 72 og marrom,tenis adidas originals sl 72 og marrom
adidas Originals,Preto,Dafiti,Tênis adidas Originals Superstar Slip On Preto,"Calçados,Calçados Femininos,Tênis,Slip On,Tênis Casual,Esporte,Esporte Feminino,Calçados,Tênis Performance","R$ 399,99","R$ 299,99","R$ 319,14",5x,Tênis adidas Originals Superstar Slip On Preto,tenis adidas originals superstar slip on preto,tenis adidas originals superstar slip on preto
Vans,Preto,Dafiti,Tênis Vans Wm Range Exp Preto,"Calçados,Calçados Femininos,Tênis,Tênis Casual,Esporte,Esporte Feminino,Calçados,Tênis Performance","R$ 599,99","R$ 299,99","R$ 319,14",5x,Tênis Vans Wm Range Exp Preto,tenis vans wm range exp preto,tenis vans wm range exp preto
Melissa,Marrom,Dafiti,Sandália Melissa Possession Marrom,"Calçados,Calçados Femininos,Sandálias","R$ 169,99","R$ 79,99","R$ 85,10",1x,Sandália Melissa Possession Marrom,sandalia melissa possession marrom,sandalia melissa possession marrom
New Balance,Branco,Dafiti,Tênis Feminino New Balance 530 Branco,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 749,99","R$ 704,98","R$ 749,98",10x,Tênis Feminino New Balance 530 Branco,tenis feminino new balance 530 branco,tenis feminino new balance 530 branco
Melissa,Off-white,Dafiti,Chinelo Melissa Logo Off-White,"Calçados,Calçados Femininos,Chinelos","R$ 69,90","R$ 34,99","R$ 37,22",1x,Chinelo Melissa Logo Off-White,chinelo melissa logo off white,chinelo melissa logo off white
Santa Lolla,Preto,Dafiti,Sapatilha Slingback Santa Lolla Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 169,90","R$ 99,99","R$ 106,37",1x,Sapatilha Slingback Santa Lolla Preta,sapatilha slingback santa lolla preta,sapatilha slingback santa lolla preta
